year,state,month,number,date
2007,AL,Julho,0,2007-01-01
2008,AL,Julho,0,2008-01-01
2009,AL,Julho,0,2009-01-01
2010,AL,Julho,2,2010-01-01
2011,AL,Julho,0,2011-01-01
2012,AL,Julho,0,2012-01-01
2013,AL,Julho,0,2013-01-01
2014,AL,Julho,1,2014-01-01
2015,AL,Julho,0,2015-01-01
2016,AL,Julho,3,2016-01-01
2017,AL,Julho,0,2017-01-01
1998,AL,Agosto,1,1998-01-01
1999,AL,Agosto,3,1999-01-01
2000,AL,Agosto,4,2000-01-01
2001,AL,Agosto,1,2001-01-01
2002,AL,Agosto,3,2002-01-01
2003,AL,Agosto,2,2003-01-01
2004,AL,Agosto,2,2004-01-01
2005,AL,Agosto,2,2005-01-01
2006,AL,Agosto,1,2006-01-01
2007,AL,Agosto,3,2007-01-01
2008,AL,Agosto,1,2008-01-01
2009,AL,Agosto,0,2009-01-01
2010,AL,Agosto,1,2010-01-01
2011,AL,Agosto,4,2011-01-01
2012,AL,Agosto,0,2012-01-01
2013,AL,Agosto,0,2013-01-01
2014,AL,Agosto,3,2014-01-01
2015,AL,Agosto,3,2015-01-01
2016,AL,Agosto,5,2016-01-01
2017,AL,Agosto,1,2017-01-01
1998,AL,Setembro,14,1998-01-01
1999,AL,Setembro,3,1999-01-01
2000,AL,Setembro,22,2000-01-01
2001,AL,Setembro,5,2001-01-01
2002,AL,Setembro,14,2002-01-01
2003,AL,Setembro,8,2003-01-01
2004,AL,Setembro,5,2004-01-01
2005,AL,Setembro,7,2005-01-01
2006,AL,Setembro,4,2006-01-01
2007,AL,Setembro,2,2007-01-01
2008,AL,Setembro,9,2008-01-01
2009,AL,Setembro,13,2009-01-01
2010,AL,Setembro,5,2010-01-01
2011,AL,Setembro,5,2011-01-01
2012,AL,Setembro,6,2012-01-01
2013,AL,Setembro,4,2013-01-01
2014,AL,Setembro,11,2014-01-01
2015,AL,Setembro,7,2015-01-01
2016,AL,Setembro,18,2016-01-01
2017,AL,Setembro,4,2017-01-01
1998,AL,Outubro,20,1998-01-01
1999,AL,Outubro,4,1999-01-01
2000,AL,Outubro,13,2000-01-01
2001,AL,Outubro,15,2001-01-01
2002,AL,Outubro,30,2002-01-01
2003,AL,Outubro,10,2003-01-01
2004,AL,Outubro,12,2004-01-01
2005,AL,Outubro,17,2005-01-01
2006,AL,Outubro,32,2006-01-01
2007,AL,Outubro,6,2007-01-01
2008,AL,Outubro,18,2008-01-01
2009,AL,Outubro,30,2009-01-01
2010,AL,Outubro,16,2010-01-01
2011,AL,Outubro,23,2011-01-01
2012,AL,Outubro,28,2012-01-01
2013,AL,Outubro,25,2013-01-01
2014,AL,Outubro,7,2014-01-01
2015,AL,Outubro,40,2015-01-01
2016,AL,Outubro,74,2016-01-01
2017,AL,Outubro,14,2017-01-01
1998,AL,Novembro,19,1998-01-01
1999,AL,Novembro,15,1999-01-01
2000,AL,Novembro,2,2000-01-01
2001,AL,Novembro,22,2001-01-01
2002,AL,Novembro,50,2002-01-01
2003,AL,Novembro,17,2003-01-01
2004,AL,Novembro,28,2004-01-01
2005,AL,Novembro,25,2005-01-01
2006,AL,Novembro,12,2006-01-01
2007,AL,Novembro,15,2007-01-01
2008,AL,Novembro,37,2008-01-01
2009,AL,Novembro,55,2009-01-01
2010,AL,Novembro,31,2010-01-01
2011,AL,Novembro,23,2011-01-01
2012,AL,Novembro,95,2012-01-01
2013,AL,Novembro,10,2013-01-01
2014,AL,Novembro,14,2014-01-01
2015,AL,Novembro,162,2015-01-01
2016,AL,Novembro,76,2016-01-01
2017,AL,Novembro,10,2017-01-01
1998,AL,Dezembro,32,1998-01-01
1999,AL,Dezembro,12,1999-01-01
2000,AL,Dezembro,2,2000-01-01
2001,AL,Dezembro,30,2001-01-01
2002,AL,Dezembro,95,2002-01-01
2003,AL,Dezembro,43,2003-01-01
2004,AL,Dezembro,71,2004-01-01
2005,AL,Dezembro,16,2005-01-01
2006,AL,Dezembro,30,2006-01-01
2007,AL,Dezembro,33,2007-01-01
2008,AL,Dezembro,34,2008-01-01
2009,AL,Dezembro,55,2009-01-01
2010,AL,Dezembro,45,2010-01-01
2011,AL,Dezembro,50,2011-01-01
2012,AL,Dezembro,59,2012-01-01
2013,AL,Dezembro,42,2013-01-01
2014,AL,Dezembro,24,2014-01-01
2015,AL,Dezembro,136,2015-01-01
2016,AL,Dezembro,155,2016-01-01
1998,AP,Janeiro,0,1998-01-01
1999,AP,Janeiro,0,1999-01-01
2000,AP,Janeiro,2,2000-01-01
2001,AP,Janeiro,0,2001-01-01
2002,AP,Janeiro,7,2002-01-01
2003,AP,Janeiro,31,2003-01-01
2004,AP,Janeiro,38,2004-01-01
2005,AP,Janeiro,109,2005-01-01
2006,AP,Janeiro,6,2006-01-01
2007,AP,Janeiro,0,2007-01-01
2008,AP,Janeiro,2,2008-01-01
2009,AP,Janeiro,4,2009-01-01
2010,AP,Janeiro,2,2010-01-01
2011,AP,Janeiro,0,2011-01-01
2012,AP,Janeiro,30,2012-01-01
2013,AP,Janeiro,3,2013-01-01
2014,AP,Janeiro,10,2014-01-01
2015,AP,Janeiro,14,2015-01-01
2016,AP,Janeiro,19,2016-01-01
2017,AP,Janeiro,2,2017-01-01
1998,AP,Fevereiro,0,1998-01-01
1999,AP,Fevereiro,1,1999-01-01
2000,AP,Fevereiro,0,2000-01-01
2001,AP,Fevereiro,0,2001-01-01
2002,AP,Fevereiro,2,2002-01-01
2003,AP,Fevereiro,0,2003-01-01
2004,AP,Fevereiro,2,2004-01-01
2005,AP,Fevereiro,1,2005-01-01
2006,AP,Fevereiro,2,2006-01-01
2007,AP,Fevereiro,0,2007-01-01
2008,AP,Fevereiro,0,2008-01-01
2009,AP,Fevereiro,0,2009-01-01
2010,AP,Fevereiro,0,2010-01-01
2011,AP,Fevereiro,3,2011-01-01
2012,AP,Fevereiro,5,2012-01-01
2013,AP,Fevereiro,0,2013-01-01
2014,AP,Fevereiro,2,2014-01-01
2015,AP,Fevereiro,1,2015-01-01
2016,AP,Fevereiro,1,2016-01-01
2017,AP,Fevereiro,0,2017-01-01
1998,AP,Mar�o,0,1998-01-01
1999,AP,Mar�o,2,1999-01-01
2000,AP,Mar�o,0,2000-01-01
2001,AP,Mar�o,0,2001-01-01
2002,AP,Mar�o,0,2002-01-01
2003,AP,Mar�o,1,2003-01-01
2004,AP,Mar�o,0,2004-01-01
2005,AP,Mar�o,0,2005-01-01
2006,AP,Mar�o,0,2006-01-01
2007,AP,Mar�o,0,2007-01-01
2008,AP,Mar�o,1,2008-01-01
2009,AP,Mar�o,1,2009-01-01
2010,AP,Mar�o,2,2010-01-01
2011,AP,Mar�o,0,2011-01-01
2012,AP,Mar�o,1,2012-01-01
2013,AP,Mar�o,0,2013-01-01
2014,AP,Mar�o,1,2014-01-01
2015,AP,Mar�o,2,2015-01-01
2016,AP,Mar�o,5,2016-01-01
2017,AP,Mar�o,0,2017-01-01
